minute,second,period,type,outcomeType,prog_pass,prog_carry,xT,x,y,endX,endY
0,9,FirstHalf,Pass,Unsuccessful,13.408839747390815,0,,54.6,5.372000000000001,62.160000000000004,21.76
0,23,FirstHalf,Carry,Successful,0,-0.31024050522368896,-0.00058186,28.455000000000002,15.028000000000002,27.090000000000003,19.924000000000003
0,24,FirstHalf,Pass,Successful,-5.368123378040991,0,-0.0009391300000000016,27.090000000000003,19.924000000000003,20.475,35.564
1,24,FirstHalf,OffsideProvoked,Successful,0,0,,34.86000000000001,42.432,,
1,45,FirstHalf,Pass,Successful,-2.9150249621885678,0,-0.0008183100000000009,28.980000000000004,16.048000000000002,30.03,3.2640000000000002
3,18,FirstHalf,Carry,Successful,0,-5.188348231365325,-0.0015871199999999992,36.330000000000005,19.108000000000004,30.87,19.924000000000003
3,19,FirstHalf,Pass,Successful,-5.395554045262585,0,-0.0009391300000000016,30.87,19.924000000000003,24.150000000000002,34.136
6,34,FirstHalf,Pass,Successful,-3.739060818730991,0,0.0008141799999999994,20.055000000000003,17.884,14.805,33.11600000000001
7,46,FirstHalf,Carry,Successful,0,-9.227542479189239,-0.00274078,44.625,52.904,33.705000000000005,47.124
8,5,FirstHalf,Pass,Successful,-7.517851025866577,0,-0.0009391300000000016,33.705000000000005,47.124,24.990000000000002,34.34
8,10.5,FirstHalf,Carry,Successful,0,3.7456914152758145,0,28.77,49.096000000000004,32.550000000000004,48.89200000000001
8,12,FirstHalf,Pass,Successful,-5.415347256599901,0,-0.0009391300000000016,32.550000000000004,48.89200000000001,25.62,33.932
8,16.5,FirstHalf,Carry,Successful,0,1.383270058624916,0,36.435,54.74,38.64,57.05200000000001
8,18,FirstHalf,Pass,Successful,9.68276647403416,0,0.0016982100000000003,38.64,57.05200000000001,49.875,59.092000000000006
11,0,FirstHalf,Pass,Successful,45.94553047714476,0,0.09542455999999999,42.945,40.324,88.62,35.292
13,5,FirstHalf,Pass,Successful,-6.45165333367062,0,-0.0004294100000000016,31.395,51.34,23.1,39.304
13,29,FirstHalf,Pass,Successful,-8.4804397624102,0,0.0014034000000000008,26.775000000000002,52.29200000000001,16.275000000000002,38.012
13,41.5,FirstHalf,Carry,Successful,0,-1.004087972087973,0.0008183100000000009,34.545,62.628,31.605000000000004,57.46
13,44,FirstHalf,Pass,Unsuccessful,20.649081889659882,0,,31.605000000000004,57.46,48.72,37.74
15,51,FirstHalf,Save,Successful,0,0,,14.700000000000001,24.276000000000003,,
16,31,FirstHalf,Pass,Successful,-10.173971229598735,0,-0.0005439199999999998,24.150000000000002,59.024,10.605,42.84
18,17,FirstHalf,Aerial,Unsuccessful,0,0,,35.07,26.860000000000003,,
20,38,FirstHalf,Pass,Successful,5.463927145795793,0,0.00033624999999999974,43.155,54.196000000000005,51.87,7.004000000000001
22,18,FirstHalf,Pass,Successful,7.1973116086874,0,0.0008975500000000004,7.14,17.272000000000002,13.440000000000001,43.79200000000001
23,23,FirstHalf,Clearance,Successful,0,0,,13.545000000000002,23.392,46.2,68
24,23,FirstHalf,Pass,Successful,8.986684002389708,0,-8.600000000000968e-7,16.695,49.232000000000006,28.77,60.248
